,x,y,z
6481,-8.0623,-11.8456,-10.7137
6482,-7.9407,-11.8082,-10.7049
6483,-8.0913,-11.7445,-10.5113
6484,-8.0399,-11.5944,-10.3181
6485,-7.8824,-11.6352,-10.1245
6486,-9.2038,-11.4642,-9.4937
6487,-22.1566,-10.1768,-10.1564
6488,-22.6595,-10.3744,-10.7187
6489,-22.2823,-9.9527,-10.7187
6490,-22.5183,-10.3927,-10.7187
6491,-22.2474,-10.1693,-10.7187
6492,-22.4009,-10.2304,-10.7187
6493,-16.3109,-10.1571,-9.4937
6494,-8.1605,-9.972,-10.7187
6495,-7.7425,-10.3559,-10.7187
6496,-8.267,-10.1553,-10.7187
6497,-7.8665,-10.3475,-10.7187
6498,-7.9163,-10.132,-10.7187
6499,-7.9617,-10.1158,-9.9415
6500,-20.5898,-10.1895,-9.4937
6501,-22.4176,-9.9174,-10.7137
6502,-22.6691,-10.3498,-10.7137
6503,-22.1992,-10.1203,-10.7137
6504,-22.4295,-9.9813,-10.7137
6505,-22.5339,-10.0652,-10.7137
6506,-22.5029,-10.1029,-10.6384
6507,-22.3442,-10.1195,-10.4451
6508,-22.3888,-10.3075,-10.2487
6509,-22.5111,-10.2862,-10.0581
6510,-14.9981,-10.1489,-9.6937
6511,-8.0979,-9.9414,-10.7137
6512,-8.1236,-10.4405,-10.7137
6513,-7.8379,-9.9765,-10.7137
6514,-8.1199,-10.0252,-10.7137
6515,-8.1484,-10.173,-10.7137
6516,-7.8671,-10.1745,-10.6695
6517,-8.0379,-10.3022,-10.4706
6518,-8.0913,-10.1514,-10.2772
6519,-7.9194,-10.0977,-10.0821
6520,-12.753,-9.6115,-9.4937
6521,-22.1548,-8.7715,-10.7187
6522,-22.7187,-8.7268,-10.7187
6523,-22.1703,-8.5803,-10.7187
6524,-22.6135,-8.7535,-10.7187
6525,-22.3147,-8.8173,-10.7187
6526,-22.4201,-8.6728,-10.2431
6527,-12.7276,-8.648,-9.4937
6528,-8.0136,-8.412,-10.7187
6529,-7.8736,-8.9638,-10.7187
6530,-8.1343,-8.5746,-10.7187
6531,-8.0206,-8.8834,-10.7187
6532,-7.9387,-8.7803,-10.7187
6533,-7.9891,-8.616,-9.4937
6534,-22.669,-8.7017,-9.4937
6535,-22.2066,-8.5311,-10.7137
6536,-22.6615,-8.6759,-10.7137
6537,-22.2807,-8.8603,-10.7137
6538,-22.267,-8.5907,-10.7137
6539,-22.3599,-8.5559,-10.7137
6540,-22.5445,-8.6599,-10.5972
6541,-22.4027,-8.5836,-10.4038
6542,-22.3158,-8.6809,-10.2127
6543,-22.4089,-8.8135,-10.0192
6544,-11.3815,-8.6774,-9.6937
6545,-7.8801,-8.4358,-10.7137
6546,-8.2565,-8.7613,-10.7137
6547,-7.7468,-8.6985,-10.7137
6548,-7.8997,-8.5032,-10.7137
6549,-8.018,-8.5361,-10.7137
6550,-7.8646,-8.6877,-10.623
6551,-7.9368,-8.8066,-10.4314
6552,-8.0866,-8.754,-10.2381
6553,-7.9598,-8.5817,-10.0392
6554,-16.1695,-7.7719,-9.4937
6555,-22.2392,-7.4105,-10.7187
6556,-22.6832,-7.0568,-10.7187
6557,-22.1493,-7.2418,-10.7187
6558,-22.5951,-7.1042,-10.7187
6559,-22.4696,-7.3043,-10.7187
6560,-22.4201,-7.1728,-9.8962
6561,-9.0873,-7.1386,-9.4937
6562,-7.8434,-6.9463,-10.7187
6563,-8.0247,-7.4822,-10.7187
6564,-7.9867,-7.0084,-10.7187
6565,-8.1486,-7.2892,-10.7187
6566,-8.0745,-7.2151,-10.7187
6567,-10.4983,-7.1306,-9.4937
6568,-22.6732,-7.2017,-9.7708
6569,-22.1579,-7.2577,-10.7137
6570,-22.7087,-7.1488,-10.7137
6571,-22.4834,-7.4144,-10.7137
6572,-22.3026,-7.3041,-10.7137
6573,-22.3329,-7.2611,-10.7137
6574,-22.5209,-7.2762,-10.5592
6575,-22.4837,-7.0912,-10.3633
6576,-22.3426,-7.1209,-10.1712
6577,-22.3813,-7.0907,-9.9433
6578,-8.3668,-7.2012,-9.6937
6579,-7.7062,-7.1145,-10.7137
6580,-8.2525,-7.2739,-10.7137
6581,-7.8992,-7.404,-10.7137
6582,-7.8024,-7.1726,-10.7137
